天門冬,천문동
枇杷葉,비파엽
枳殼,지각
熟地黃,숙지황
犀角,서각
甘草,감초
生地黃,생지황
石斛,석곡
茵蔯,인진
黃芩,황금
乾薑,건강
小茴香,소회향
川牛膝,천우슬
桂枝,계지
當歸,당귀
白芍藥,백작약
知母,지모
石膏,석고
粳米,갱미
人蔘,인삼
朱砂,주사
白茯苓,백복령
石菖蒲,석창포
遠志,원지
麥門冬,맥문동
丹蔘,단삼
川芎,천궁
桔梗,길경
甘菊,감국
白芷,백지
皂角,조각
細辛,세신
羌活,강활
荊芥,형개
蔓荊子,만형자
薄荷,박하
藁本,고본
防風,방풍
山茱萸,산수유
山藥,산약
澤瀉,택사
牛膝,우슬
牧丹皮,목란피
肉桂,육계
車前子,차전자
附子,부자
角蒿,각호
巴戟,파극
破故紙,파고지
肉蓯蓉,육총용
胡蘆巴,호노파
菟絲子,토사자
茴香,회향
山楂肉,산사육
木香,목향
枳實,지실
胡黃連,호황연
蝦蟆,하마
靑皮,청피
靑黛,청대
麝香,사향
麥芽,맥아
黃連,황연
蘆薈,노회
枯白礬,고백반
牛黃,우황
琥珀,호박
石鍾乳,석종유
石雄黃,석웅황
硫黃,유황
黃丹,황단
靈砂,영사
吳茱萸,오수유
官桂,관계
乳香,유향
五加皮,오가피
大棗,대조
大腹皮,대복피
威靈仙,위영선
木瓜,목과
木通,목통
杜仲,두중
枸杞子,구기자
沒藥,몰약
玄胡索,현호색
生薑,생강
白朮,백출
砂仁,사인
紅花,홍화
薏苡仁,의이인
陳皮,진피
香附子,향부자
黃芪,황기
龍眼肉,용안육
鹿角,녹각
升麻,승마
檳榔,빈랑
神麴,신국
縮砂,축사
肉豆蔲,육두구
良薑,양강
半夏,반하
南星,남성
瓜蔞仁,과루인
山梔子,산치자
秦皮,진피
辰砂,진사
梔子,치자
淡竹葉,담죽엽
薄荷葉,박하엽
連翹,연교
厚朴,후박
山査,산사
川椒,천초
苦楝根皮,고련근피
烏梅,오매
罌粟殼,앵속각
芍藥,작약
訶子,가자
阿膠,아교
白豆蔲,백두구
龍腦,용뇌
三稜,삼능
烏藥,오약
蒼朮,창출
蓬朮,봉출
蔥,총
密蒙花,밀몽화
木賊,목적
柴胡,시호
白蒺藜,백질려
石決明,석결명
蟬殼,선각
藿香,곽향
天麻,천마
杏仁,행인
獨活,독활
白鮮皮,백선피
赤茯苓,적복령
麻黃,마황
乾葛,건갈
五味子,오미자
黃柏,황백
草豆蔲,초두구
玄蔘,현삼
丁香,정향
骨碎補,골쇄보
酸棗仁,산조인
虎骨,호골
鎖陽,쇄양
龜板,귀판
茯苓,복령
山査肉,산사육
蘿蔔子,나복자
朴硝,박초
海桐皮,해동피
薄桂,박계
薑黃,강황
白茯神,백복신
芡仁,검인
金櫻子,금앵자
蓮子肉,연자육
橘紅,귤홍
蘇葉,소엽
白扁豆,백편두
藿香葉,곽향엽
鹿茸,녹용
側柏葉,측백엽
槐花,괴화
續斷,속단
荊芥穗,형개수
貝母,패모
京芥穗,경개수
當歸尾,당귀미
白菊花,백국화
地楡,지유
炙甘草,자감초
乾漆,건칠
條芩,조금
莪朮,아출
香附,향부
地骨皮,지골피
桑白皮,상백피
益智仁,익지인
蘇梗,소경
桂皮,계피
紫蘇葉,자소엽
前胡,전호
款冬花,관동화
沙蔘,사삼
白芥子,백개자
葛根,갈근
蘇子,소자
馬兜鈴,마두영
紫蘇子,자소자
神麯,신국
大黃,대황
가을75,가을75
겨울150g,겨울150g
여름37.5,여름37.5
桃仁,도인
苦蔘,고삼
赤芍藥,적작약
天花粉,천화분
赤芍,적작
山豆根,산두근
川黃連,천황연
燈心草,등심초
牛蒡子,우방자
紫草,자초
防己,방기
茯神,복신
秦艽,진구
桑枝,상지
金銀花,금은화
竹茹,죽여
蘇木,소목
橘皮,귤피
白殭蠶,백강잠
猪苓,저령
荔枝核,려지핵
草果,초과
沈香,침향
懷山藥,회산약
懷熟地黃,회숙지황
懷生地黃,회생지황
柏子仁,백자인
甘枸杞,감구기
牧丹,목단
覆盆子,복분자
仙茅參,선모삼
粉草,분초
竹葉,죽엽
元蔘,원삼
桂心,계심
滑石,활석
阿膠珠,아교주
牛膽南星,우담남성
草龍膽,초용담
補骨脂,보골지
山楂子,산사자
白薇,백미
葳蕤,위유
香薷,향유
便香附,변향부
御米殼,어미각
蟬退,선퇴
血竭,혈갈
烏藥葉,오약엽
當歸身,당귀신
楮實子,저실자
楮實,저실
山茱萸肉,산수유육
桑螵蛸,상표소
韭子,구자
茵蔯蒿,인진호
生乾地黃,생건지황
訶子肉,가자육
木鼈子,목별자
甘草節,감초절
皂角刺,조각자
穿山甲,천산갑
樗根白皮,저근백피
蛤粉,합분
桃枝,도지
梅實,매실
棗,조
柳枝,유지
蓮肉,연육
辣桂,랄계
梔子仁,치자인
芒硝,망초
錦紋大黃,금문대황
白何首烏,백하수오
酒,주
白茅根,백모근
茜根,천근
龍骨,용골
土茯苓,토복령
五味,오미
生熟地黃,생숙지황
薯蕷,서여
石棗,석조
山梔仁,산치인
瞿麥,구맥
萹蓄,편축
何首烏,하수오
白芨,백급
蔥白,총백
川楝子,천련자
虎脛骨,호경골
全蝎,전갈
紫草茸,자초용
北柴胡,북시호
縮砂仁,축사인
母丁香,모정향
海粉,해분
訶子皮,가자피
海石,해석
川烏頭,천오두
白礬,백반
訶梨勒,가이늑
赤石脂,적석지
蓽撥,필발
半夏麴,반하국
穀芽,곡아
訶子核,가자핵
葛花,갈화
旋覆花,선복화
白前,백전
百部根,백부근
射干,사간
忍冬藤,인동등
釣鉤藤,조구등
蟬蛻,선태
川烏,천오
龜板,귀판
鹿角膠,녹각교
海螵蛸,해표소
皂柳根,조유근
鷄內金,계내금
牡蠣,모려
辛荑,신이
百合,백합
人乳,인유
牛乳,우유
梨,이
禹餘糧,우여양
胡麻子,호마자
蒼耳子,창이자
蛇床子,사상자
大戟,대극
巴豆,파두
甘遂,감수
甛葶藶,첨정력
芫花,원화
黑牽牛,흑견우
紫蘇,자소
土木香,토목향
槐角,괴각
芡實,검실
艾,애
川貝母,천패모
紫菀,자울
鬱金,울금
芎藭,궁궁
益母草,익모초
龜殼,귀각
艾葉,애엽
乾地黃,건지황
橘核,귤핵
萆薢,비해
棕櫚皮,종려피
金沸草,금비초
蒲公英,포공영
五靈脂,오영지
蒲黃,포황
葶藶子,정력자
蛇退,사퇴
象牙,상아
黃蠟,황납
露蜂房,노봉방
茶葉,차엽
麻子仁,마자인
桑寄生,상기생
鹿角霜,녹각상
紅花子,홍화자
鹿腎,녹신
淫羊藿,음양곽
豨薟,희렴
陽起石,양기석
黃精,황정
夏枯草,하고초
白附子,백부자
蝸牛,와우
瓜蒂,과체
蝟皮,위피
草烏,초오
黑附子,흑부자
雄黃,웅황
丁香皮,정향피
白丑,백축
懷生地,회생지
片芩,편금
當歸頭,당귀두
白芍,백작
樺皮,화피
石蓮肉,석연육
枸杞,구기
敗醬,패장
王不留行,왕불유행
白薟,백렴
益智,익지
蓯蓉,총용
紫檀香,자단향
糯米,나미
黃柏皮,황백피
川連,천연
紅棗,홍조
茱萸,수유
鬼箭羽,귀전우
苦楝皮,고련피
桑皮,상피
天南星,천남성
大川烏,대천오
天雄,천웅
綿繭,면견
香附米,향부미
虎杖根,호장근
寒水石,한수석
枾霜,시상
烏梅肉,오매육
片腦,편뇌
玄明粉,현명분
砂糖,사당
硼砂,붕사
鱉甲,별갑
鼠粘子,서점자
藕汁,우즙
黑丑,흑축
鷄心檳榔,계심빈랑
惡實,오실
黑豆,흑두
龍膽,용담
浮萍,부평
楡白皮,유백피
珍珠母,진주모
枯礬,고반
元胡索,원호색
昆布,곤포
海藻,해조
淡豆豉,담두시
草決明,초결명
龍膽草,용담초
巴戟天,파극천
羚羊角,영양각
生黃芩,생황금
槲木皮,곡목피
椒葉,초엽
橘葉,귤엽
猪蹄,저제
남,남
여,여
決明子,결명자
炮附子,포부자
辛荑花,신이화
雷丸,뇌환
狗脊,구척
甘草梢,감초초
玉米鬚,옥미수
綠礬,녹반
延胡索,연호색
白薑,백강
蠐螬,제조
天台烏藥,천태오약
生薑皮,생강피
茯苓皮,복령피
靑竹茹,청죽여
鷄屎藤,계시등
撫芎,무궁
貛肉,환육
海金沙,해금사
孩兒茶,해아차
白頭蔲仁,백두구인
栝蔞仁,괄루인
胡椒,호초
忍冬,인동
紫莞茸,자완용
白屈菜,백굴채
老鸛草,노관초
蜈蚣,오공
苦葶藶,고정력
磁石,자석
靑箱子,청상자
半夏麯,반하국
苦楝根,고련근
熟艾,숙애
烏賊魚骨,오적어골
乾栗,건율
女貞實,여정실
海松子,해송자
乾生薑,건생강
白螺螄殼,백나사각
瓜蔞子,과루자
萊菔子,래복자
螺螄殼,나사각
麥蘖,맥얼
柏脂,백지
瓜蔞,과루
澤蘭,택난
蓮子,연자
白蜜,백밀
四季海棠,사계해당
漏蘆,누노
地膚子,지부자
魚腥草,어성초
山萸肉,산유육
楮根皮,저근피
皂角仁,조각인
旱蓮草,한연초
生薑汁,생강즙
胡桃肉,호도육
靑鹽,청염
靈脂,영지
白丁香,백정향
蓽澄茄,필징가
酒麴,주국
靑木香,청목향
甘菊花,감국화
蓮蕊,연예
軟石膏,연석고
地黃,지황
瞿麥穗,구맥수
大蒜,대산
苦竹葉,고죽엽
僵蠶,강잠
蜜,밀
紅花苗,홍화묘
阿芙蓉,아부용
紫蘇莖,자소경
五倍子,오배자
家鼠糞,가서분
韭白根,구백근
韭白,구백
鼠糞,서분
通草,통초
麯蘖,국얼
沙苑蒺藜,사원질려
甘枸杞子,감구기자
羊肝,양간
菊花,국화
蟾蜍,섬서
白蕪異,백무이
蚵蚾草,가파초
夜明砂,야명사
大腹子,대복자
猪牙皂角,저아조각
鹽,염
焰硝,염초
瓦松,와송
馬齒莧,마치현
文蛤,문합
赤何首烏,적하수오
側柏,측백
狗寶,구보
鏡面朱砂,경면주사
寒食麵,한식면
霜梅,상매
好醋,호초
菖蒲,창포
密陀僧,밀타승
白花蛇舌草,백화사설초
地龍,지용
馬蟥,마황
紫背浮萍,자배부평
豉,시
茅根,모근
巴豆肉,파두육
斑猫,반묘
蝎梢,갈초
膽礬,담반
蟾酥,섬소
蓬莪朮,봉아출
白花蛇,백화사
羊脛骨,양경골
豆豉,두시
小豆花,소두화
京墨,경묵
兒茶,아차
氷片,빙편
熊膽,웅담
陳粟米,진속미
猪膽汁,저담즙
橄欖,감람
猪脂,저지
百藥煎,백약전
牙硝,아초
鉛白霜,연백상
銅靑,동청
熟乾地黃,숙건지황
飴糖,이당
李根皮,이근피
龜甲,귀갑
黃蘗,황벽
小麥,소맥
甘松香,감송향
葵子,규자
靑竹葉,청죽엽
輕粉,경분
鐵精,철정
史君子肉,사군자육
大麥蘖,대맥얼
安息香,안식향
烏犀角,오서각
白檀香,백단향
蘇合香,소합향
訶黎勒,가여늑
淸油,청유
百草霜,백초상
蠟,납
京三棱,경삼릉
川薑,천강
白蠟,백납
川乾薑,천건강
乾蟾,건섬
使君子,사군자
川楝肉,천련육
麻油,마유
黃香,황향
白滑石,백활석
白頭翁,백두옹
陳麴,진국
穀精草,곡정초
蛇蛻,사태
乾茶,건차
福建茶,복건차
茶,차
蜣螂,강랑
松煙墨,송연묵
馬牙硝,마아초
金箔,금박
柞木枝,작목지
珍珠,진주
血餘炭,혈여탄
鷄子黃,계자황
草果仁,초과인
高良薑,고양강
甘松,감송
降眞香,강진향
左蟠龍,좌반용
野鴿糞,야합분
魚鰾,어표
水銀,수은
人中黃,인중황
佛耳草,불이초
黃松節,황송절
麻仁,마인
瓜蔞根,과루근
茺蔚子,충울자
巴豆霜,파두상
靑桑皮,청상피
血餘,혈여
朴消,박소
腦子,뇌자
細茶,세차
冬瓜仁,동과인
石蓮子,석연자
陳米,진미
蕤仁,유인
樟腦,장뇌
鶴蝨,학슬
蓖麻子,비마자
三七根,삼칠근
白蒼朮,백창출
蓬莪茂,봉아무
丁香葉,정향엽
槐角子,괴각자
八角茴香,팔각회향
常山,상산
巨勝子,거승자
胡粉,호분
蓮花蕊,연화예
澤蘭葉,택난엽
丁皮,정피
烏頭,오두
紫金皮,자금피
花蕊石,화예석
香白芷,향백지
大薊,대계
赤黍米,적서미
明礬,명반
牙皂,아조
紫苑,자원
胡麻,호마
白梅,백매
磁石毛,자석모
赭石,자석
茜草根,천초근
陳艾葉,진애엽
牛肉,우육
鱔魚,선어
靑州棗,청주조
葛粉,갈분
白石脂,백석지
紫石英,자석영
蓮花鬚,연화수
五色龍骨,오색용골
天仙藤,천선등
莪茂,아무
蒜,산
白鹽,백염
蕎麥,교맥
驢蹄肉,려제육
海風藤,해풍등
片子薑黃,편자강황
繭,견
黑牽牛子,흑견우자
椒目,초목
水蛭,수질
草決明子,초결명자
冬瓜藤,동과등
玉竹,옥죽
猪肝,저간
兎肝,토간
椿根白皮,춘근백피
消石,소석
白膠香,백교향
赤小豆,적소두
虎斑游蛇,호반유사
蝎,갈
螺厴草,나염초
橙子皮,등자피
瓜仁,과인
紅豆,홍두
蒔蘿子,시나자
越瓜,월과
躑躅花,척촉화
酥,소
金毛狗脊,금모구척
海帶,해대
海螺,해나
田螺,전나
苦梗,고경
皂角子,조각자
硇砂,뇨사
阿魏,아위
鷄子,계자
鷄,계
鷄肶胵,계비치
綠豆粉,녹두분
鳴蟬,명선
鷄頭,계두
淸酒,청주
麴酵,국효
猪脬,저포
鷄腸,계장
鷄蘇葉,계소엽
鷄蘇,계소
鷄屎,계시
鷄屎白,계시백
釜底煤,부저매
小草,소초
猪胞,저포
蜀漆,촉칠
栝蔞根,괄루근
鯽魚,즉어
大棗肉,대조육
鷄冠,계관
桂花,계화
芽茶,아차
烏鷄卵,오계난
皂莢,조협
卷柏,권백
子芩,자금
樗根皮,저근피
苦楝肉,고련육
苦楝子,고련자
砒霜,비상
木耳,목이
硝石,초석
礬石,반석
風化硝,풍화초
斑蝥,반모
髮灰,발회
亂髮,난발
蚌粉,방분
犀角屑,서각설
刺蝟皮,자위피
烏蛇,오사
蒺藜子,질려자
人糞,인분
明膠,명교
石榴皮,석류피
晩蠶蛾,만잠아
白龍骨,백용골
綠豆,녹두
沒石子,몰석자
鼠,서
牡鼠,모서
紅礬,홍반
雄鼠,웅서
生漆,생칠
薜荔,벽려
烏梢蛇,오초사
戎鹽,융염
金鈴子,금영자
雲母,운모
苦瓠,고호
蜂房,봉방
靑礞石,청몽석
礞石,몽석
片黃芩,편황금
苧根,저근
急性子,급성자
自然銅,자연동
鐵粉,철분
紫河車,자하차
蜥蜴,석척
空靑,공청
金蛤蟆,금합마
靑橘葉,청귤엽
拒桑葉,거상엽
赤豆,적두
仙人掌,선인장
酒糟,주조
瓜蔞實,과루실
黃瓜蔞,황과루
薤白,해백
螺殼,나각
海蛤粉,해합분
冬瓜,동과
瓜蒂末,과체말
古鏡,고경
桑葉,상엽
檀香,단향
冬瓜子仁,동과자인
貫衆,관중
大豆葉,대두엽
狼牙,낭아
爐甘石,노감석
廣朮,광출
代赭石,대자석
浙貝母,절패모
槐子,괴자
牛膽,우담
楝實,련실
槐白皮,괴백피
槐枝,괴지
食鹽,식염
槐實,괴실
柏葉,백엽
胡桐淚,호동누
綠豆皮,녹두피
杏仁泥,행인니
槐潤,괴윤
瀝靑,력청
藜蘆,려노
蔞蒿,루호
荊三棱,형삼릉
蜀椒,촉초
合歡皮,합환피
醋,초
垣衣,원의
狗頭骨,구두골
鈎藤,구등
蠍尾,헐미
丁公藤,정공등
紅內消,홍내소
紅藤,홍등
陰地蕨,음지궐
苦桔梗,고길경
天竺黃,천축황
臘茶,납차
佛座鬚,불좌수
川歸,천귀
鵝涎,아연
土狗,토구
石燕,석연
芥子,개자
薺苨,제니
蕪荑,무이
黃絹,황견
薤菜,해채
初男乳,초남유
烏金石,오금석
粉霜,분상
鯉魚膽,리어담
黑狗膽,흑구담
小腦,소뇌
紫梢花,자초화
白沙糖,백사당
燕窠土,연과토
女貞子,여정자
南瓜子,남과자
韭菜,구채
獺肝,달간
狼毒,낭독
銅綠,동녹
紅椒,홍초
開口者,개구자
蓮根,연근
山梔,산치
朮,출
榧子,비자
甘草末,감초말
白礬末,백반말
北細辛,북세신
生龍腦,생용뇌
刺蘇,자소
瓦壠子,와롱자
頭髮,두발
紅葵花,홍규화
酒芩,주금
龜尿,귀뇨
椿根皮,춘근피
銀箔,은박
龍齒,용치
牽牛子,견우자
鷄頭實,계두실
冬葵子,동규자
山梔子仁,산치자인
黃蜀葵子,황촉규자
石葦,석위
葵花,규화
益智子,익지자
大懷生地黃,대회생지황
陳橘皮,진귤피
石蟹,석해
柿蒂,시체
紫蘇莖葉,자소경엽
蟹爪,해조
火麻仁,화마인
郁李仁,욱리인
信砒,신비
定粉,정분
荷葉,하엽
菉豆末,녹두말
蚯蚓,구인
大蓼,대료
枇杷,비파
斑鳩,반구
羚羊肝,영양간
羯羊肝,갈양간
石燕肉,석연육
海蛤,해합
馬藺花,마린화
馬尾,마미
月石,월석
竹黃,죽황
海星,해성
桑柴灰,상시회
人中白,인중백
米醋,미초
野鳳仙花,야봉선화
連鬚葉葱,연수엽총
金錢草,금전초
生白礬,생백반
桃白皮,도백피
羊腎,양신
連鬚葱,연수총
伏龍肝,복용간
黑鉛,흑연
紅芽大戟,홍아대극
零陵香,영능향
韭菜根,구채근
馬藺子,마린자
膩粉,니분
雪梨汁,설리즙
蘿菔,나복
枯芩,고금
白粉葛,백분갈
糯米酒,나미주
丹砂,단사
乳汁,유즙
兎屎,토시
垂盆草,수분초
